key,slogan,picture,target
ban-001,The future of innovation is here!,https://picsum.photos/seed/ad1/400/300,https://www.example.com/promo1
ban-002,"Upgrade your toolkit today, don't wait.",https://picsum.photos/seed/ad2/400/300,https://www.example.com/promo2
ban-003,Empowering creators worldwide.,https://picsum.photos/seed/ad3/400/300,https://www.example.com/promo3
ban-004,Unleash your creative potential.,https://picsum.photos/seed/ad4/400/300,https://www.example.com/promo4
ban-005,"Better tools, better results.",https://picsum.photos/seed/ad5/400/300,https://www.example.com/promo5
ban-006,Discover the next big thing.,https://picsum.photos/seed/ad6/400/300,https://www.example.com/promo6
ban-007,Quality you can always trust.,https://picsum.photos/seed/ad7/400/300,https://www.example.com/promo7
ban-008,Innovation that drives success.,https://picsum.photos/seed/ad8/400/300,https://www.example.com/promo8
ban-009,Your partner in technological growth.,https://picsum.photos/seed/ad9/400/300,https://www.example.com/promo9
ban-010,"Transform the way you work, forever.",https://picsum.photos/seed/ad10/400/300,https://www.example.com/promo10
ban-011,Reach new heights with our technology.,https://picsum.photos/seed/ad11/400/300,https://www.example.com/promo11
ban-012,Smart solutions for everyday problems.,https://picsum.photos/seed/ad12/400/300,https://www.example.com/promo12
ban-013,Building a smarter tomorrow.,https://picsum.photos/seed/ad13/400/300,https://www.example.com/promo13