key,name,notes,money,kind,key:sponsorship
"donation-001","Donación prematura","Donación a un borrador (sponsorship-002).","EUR 10.00","ALTRUIST","sponsorship-002"
"donation-002","Aporte único","La donación que permite publicar el sponsorship-003.","EUR 500.00","REWARDED","sponsorship-003"
"donation-003","Aporte inicial","Primera donación para el sponsorship-004.","EUR 150.00","CELEBRATED","sponsorship-004"
"donation-004","Aporte secundario","Segunda donación para el sponsorship-004.","EUR 75.50","ALTRUIST","sponsorship-004"
"donation-005","Aporte final","Tercera donación para el sponsorship-004.","EUR 1000.00","REWARDED","sponsorship-004"
"donation-006","Inversión futuro","Donación para el patrocinio de 2030.","EUR 9999.99","CELEBRATED","sponsorship-005"
"donation-009","Apoyo Fondo Verde","Donación inicial para el fondo de innovación.","EUR 250.00","ALTRUIST","sponsorship-009"
"donation-010","Aporte Robótica","Donación para becas de robótica.","EUR 500.00","REWARDED","sponsorship-010"
"donation-011","Quantum Funding","Apoyo a la investigación cuántica.","EUR 1000.00","CELEBRATED","sponsorship-011"
"donation-012","Salud Pública","Contribución a diagnósticos rápidos.","EUR 150.00","ALTRUIST","sponsorship-012"
"donation-013","Aeroespacial Civil","Aporte a la red de microsatélites.","EUR 300.00","REWARDED","sponsorship-013"
"donation-014","Energías Limpias","Soporte para baterías de estado sólido.","EUR 450.00","CELEBRATED","sponsorship-014"
"donation-015","Biotecnología","Para resolver problemas agrícolas.","EUR 100.00","ALTRUIST","sponsorship-015"
"donation-016","Educación Tech","Herramientas inmersivas para educación.","EUR 50.00","REWARDED","sponsorship-016"
"donation-017","Smart Agro","Sensores y drones agrícolas.","EUR 200.00","CELEBRATED","sponsorship-017"
"donation-018","Movilidad Urbana","Transporte público sin emisiones.","EUR 120.00","ALTRUIST","sponsorship-018"
"donation-019","Ciberseguridad","Protección de redes descentralizadas.","EUR 800.00","REWARDED","sponsorship-019"
"donation-020","Limpieza Oceánica","Filtros de microplásticos marinos.","EUR 350.00","CELEBRATED","sponsorship-020"
"donation-021","Materiales Espaciales","Aleaciones resistentes a la radiación.","EUR 600.00","ALTRUIST","sponsorship-021"
"donation-022","Nanomedicina","Nanobots para administración de fármacos.","EUR 1500.00","REWARDED","sponsorship-022"
"donation-023","Wearables Med","Biosensores en ropa diaria.","EUR 90.00","CELEBRATED","sponsorship-023"
"donation-024","Domótica Abierta","Ecosistemas IoT para el hogar.","EUR 110.00","ALTRUIST","sponsorship-024"
"donation-025","VR Háptica","Trajes de inmersión total.","EUR 250.00","REWARDED","sponsorship-025"
"donation-026","Inclusión","Traductor de signos a voz.","EUR 400.00","CELEBRATED","sponsorship-026"
"donation-027","FoodTech","Impresión 3D de proteínas vegetales.","EUR 130.00","ALTRUIST","sponsorship-027"
"donation-028","Agua Potable","Sistemas portátiles de potabilización.","EUR 220.00","REWARDED","sponsorship-028"
"donation-029","Infra 6G","Antenas receptoras experimentales.","EUR 550.00","CELEBRATED","sponsorship-029"
"donation-030","Control Climático","Generadores atmosféricos contra heladas.","EUR 340.00","ALTRUIST","sponsorship-030"
"donation-031","Biónica","Prótesis conectadas al sistema nervioso.","EUR 1200.00","REWARDED","sponsorship-031"
"donation-032","Arte IA","Brazos robóticos pintores.","EUR 180.00","CELEBRATED","sponsorship-032"
"donation-033","Levitación Magnética","Raíles pasivos.","EUR 700.00","ALTRUIST","sponsorship-033"
"donation-034","Hardware AGI","Pruebas de modelos I.A. General.","EUR 2500.00","REWARDED","sponsorship-034"
"donation-035","DeFi Cuántico","Hardware wallets resistentes a cuántica.","EUR 800.00","CELEBRATED","sponsorship-035"